ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv
600889.SH,20191030,4.57,0.4326,0.7735,0.94,269.7211,25.1444,1.1235,1.6902,2.1691,36634.601,33804.4124,18905.1337,167420.1266,154486.1647
002317.SZ,20191030,9.73,0.6115,0.7178,0.51,18.1906,17.465,1.9342,3.3558,3.1223,81446.1076,78174.828,66594.7655,792470.6269,760641.0764
300450.SZ,20191030,32.9,0.7989,1.3957,0.73,39.0656,34.9144,7.5371,7.4559,6.5761,88157.7267,84789.328,48530.9178,2900389.2084,2789568.8912
000153.SZ,20191030,6.63,4.5313,6.3395,0.39,33.9672,25.9877,1.5695,0.6868,0.6533,31214.123,31197.723,22299.4605,206949.6355,206840.9035
000967.SZ,20191030,6.3,0.4202,0.6556,0.79,21.46,12.2695,1.3184,1.5276,1.1016,316306.2146,114591.6161,73451.5044,1992729.152,721927.1814
300712.SZ,20191030,12.29,0.9343,1.0698,0.81,30.436,32.7013,2.3152,3.2626,2.1312,18210.4,7849.9244,6855.4244,223805.816,96475.5709
002528.SZ,20191030,4.64,2.4192,5.2317,2.16,40.0705,59.2443,1.4908,1.3023,1.2323,119867.5082,104570.995,48355.3624,556185.238,485209.4168
600338.SH,20191030,10.38,0.9464,2.3886,1.05,10.5361,14.5516,3.5436,4.6374,5.2133,91421.0168,91421.0168,36223.61,948950.1544,948950.1544
002217.SZ,20191030,5.38,0.8811,1.3217,0.6,12.343,19.9825,1.4066,0.9918,1.0951,311641.622,269996.4957,179981.2261,1676631.9264,1452581.1469
300618.SZ,20191030,55.4,2.1871,2.9424,0.71,21.0452,,9.2666,5.3522,7.9779,26881.2153,15958.9753,11862.3909,1489219.3276,884127.2316
300051.SZ,20191030,6.29,9.0814,9.842,1.23,,,3.8829,9.7963,8.272,36569.869,22489.6706,20751.7914,230024.476,141460.0281
300045.SZ,20191030,9.92,9.3815,10.6903,1.66,51.7103,54.9883,3.2189,8.9908,8.067,61546.9387,41321.7512,36262.6242,610545.6319,409911.7719
000912.SZ,20191030,4.95,0.3022,0.7342,0.71,22.0752,43.7408,1.5645,1.7618,1.4491,156800.0,156800.0,64533.7767,776160.0,776160.0
601018.SH,20191030,3.71,0.1542,0.6324,1.76,16.9445,14.3375,1.2193,2.2336,2.1564,1317284.7809,1280000.0,312018.7004,4887126.5371,4748800.0
000981.SZ,20191030,1.21,1.0658,2.9963,2.16,,,0.3401,0.5434,0.6246,402798.9882,257431.56,91569.6341,487386.7757,311492.1876
000408.SZ,20191030,8.76,0.7055,0.7055,0.86,20.5436,38.9025,2.2387,6.5156,8.7056,199377.9522,46448.1696,46448.1696,1746550.8613,406885.9657
000601.SZ,20191030,6.59,1.8435,2.3682,1.38,23.5077,15.7282,1.5117,2.0771,1.7982,108055.1669,107983.2057,84060.3265,712083.5499,711609.3256
002241.SZ,20191030,19.03,4.4399,6.1056,1.4,71.1683,61.9702,3.8821,2.6001,1.9038,324510.3948,276564.5953,201114.1287,6175432.813,5263024.2486
603685.SH,20191030,12.2,1.6727,2.2748,0.94,19.7251,17.4848,2.0131,2.3508,1.919,16900.0,5746.0,4225.0,206180.0,70101.2
000301.SZ,20191030,5.21,0.3935,0.5354,0.85,24.791,13.3423,1.6057,1.1383,0.6938,402905.3222,121823.6445,89526.3992,2099136.7287,634701.1878
002796.SZ,20191030,36.48,2.6961,4.4725,1.05,126.3104,50.6856,4.0756,4.7971,3.3785,16830.5632,13515.0175,8147.019,613978.9455,493027.8384
600655.SH,20191030,7.89,0.3526,0.4648,0.98,10.1371,9.8155,1.0367,0.9066,0.7466,388106.3864,160159.8944,121486.6148,3062159.3887,1263661.5668
601006.SH,20191030,7.6,0.1577,0.4174,1.18,7.7686,7.7931,1.0142,1.4422,1.3888,1486679.1491,1486679.1491,561497.8895,11298761.5332,11298761.5332
603828.SH,20191030,5.35,0.2993,0.8453,1.03,50.7135,95.2325,2.5699,1.2411,1.2333,55333.4476,54756.0,19386.0424,296033.9447,292944.6
603955.SH,20191030,16.04,1.4748,2.6185,0.4,20.1296,18.3688,1.5242,2.2627,2.1504,11310.0,7132.0213,4016.9309,181412.4,114397.6217
600982.SH,20191030,3.01,0.4481,0.6463,1.35,21.1771,24.1443,0.9883,1.8788,1.0658,108669.5511,74693.0,51783.5403,327095.3488,224825.93
601258.SH,20191030,1.12,0.5044,0.6825,0.83,,,1.4373,0.1742,0.2909,653847.8402,653847.8402,483161.3902,732309.581,732309.581
600599.SH,20191030,9.1,2.3631,4.265,1.02,,,2.2933,5.3336,6.9732,16600.0,16600.0,9197.5171,151060.0,151060.0
600284.SH,20191030,6.24,0.4551,0.6501,0.94,13.3685,12.4142,1.0142,1.6486,1.2068,97025.6,97025.6,67918.1607,605439.744,605439.744
600826.SH,20191030,12.57,2.1351,4.491,0.72,23.0953,34.3205,1.5451,1.5994,1.506,42064.2288,42064.2288,19998.3368,528747.356,528747.356
000538.SZ,20191030,84.0,1.7794,2.3543,1.4,32.4512,26.0677,2.8679,4.0176,3.7478,127740.3317,60896.5833,46025.5733,10730187.8628,5115312.9972
002134.SZ,20191030,9.3,4.5579,8.5246,0.92,,,5.9407,5.8273,5.754,24584.9768,24584.9768,13144.9737,228640.2842,228640.2842
000993.SZ,20191030,7.41,0.849,1.8144,1.09,,,1.6651,6.0828,4.9925,45795.1455,37300.0,17453.0,339342.0282,276393.0
600315.SH,20191030,33.0,0.3863,0.754,0.31,40.9919,35.3281,3.5658,3.1033,2.9721,67124.8461,67124.8461,34388.9346,2215119.9213,2215119.9213
002042.SZ,20191030,6.74,0.3209,0.6048,0.74,13.6218,23.9668,1.6168,0.7158,0.6998,151937.5555,151814.5368,80545.7606,1024059.1241,1023229.978
002650.SZ,20191030,3.81,1.0746,1.5356,0.83,38.048,37.5533,1.9256,2.4542,2.2502,115200.0,94644.926,66233.5647,438912.0,360597.1681
300289.SZ,20191030,5.97,2.3725,4.4127,1.38,62.1095,,1.9025,3.8388,5.0982,42105.1985,41685.131,22412.131,251368.035,248860.2321
300729.SZ,20191030,22.99,9.359,9.4657,0.7,34.8221,37.9229,2.6034,2.1182,2.0694,8723.083,2515.9448,2487.5757,200543.6782,57841.571
000966.SZ,20191030,4.77,1.0133,1.9557,1.32,25.3323,9.902,1.33,0.8056,0.7199,110828.408,110828.408,57419.7642,528651.5062,528651.5062
600101.SH,20191030,6.14,0.3044,0.4789,0.77,25.4232,28.5432,1.1157,1.6173,1.6213,42143.267,42143.267,26786.4805,258759.6594,258759.6594
300485.SZ,20191030,9.06,0.581,0.8319,0.91,15.4943,21.9703,1.6515,3.0723,3.2091,48416.6,24825.23,17339.0509,438654.396,224916.5838
600461.SH,20191030,6.09,0.6832,1.2776,1.14,14.3111,10.719,1.2827,1.0984,1.012,78959.3625,78959.3625,42222.7593,480862.5176,480862.5176
603117.SH,20191030,3.86,1.25,1.982,0.8,25.2516,30.0274,1.1062,2.6353,2.5637,64301.6885,63314.4502,39930.9054,248204.5176,244393.7778
000663.SZ,20191030,5.13,1.4254,1.9123,1.66,,,2.1973,2.2882,2.5251,33668.3929,25503.7222,19010.6053,172718.8556,130834.0949
000998.SZ,20191030,12.6,1.1507,1.3738,0.89,20.9782,37.2826,2.6744,4.6355,4.9944,131697.0298,96506.4493,80835.7351,1659382.5755,1215981.2612
300135.SZ,20191030,2.62,0.608,0.6939,0.75,58.2144,56.9208,1.915,1.1779,1.065,92160.0,92160.0,80742.2568,241459.2,241459.2
600654.SH,20191030,1.2,1.6945,1.7078,1.68,,,,0.4245,0.5619,128302.0992,75504.3154,74914.3769,153962.519,90605.1785
300177.SZ,20191030,8.35,1.4754,1.6663,0.57,58.5852,89.9626,2.9298,4.3373,3.6971,66945.3916,49359.941,43704.8028,558994.0199,412155.5074
600748.SH,20191030,6.93,2.0635,4.5511,1.93,19.4381,15.8899,1.233,1.4754,1.3623,184456.2892,184456.2892,83634.7149,1278282.0842,1278282.0842
000965.SZ,20191030,3.17,0.3107,0.64,1.17,36.6085,,0.6912,1.5365,14.8693,110983.0895,110983.0895,53883.4999,351816.3937,351816.3937
600323.SH,20191030,18.37,1.4358,2.6313,2.3,16.0777,16.2137,2.1942,2.9032,2.5447,76626.4018,76626.4018,41812.1306,1407627.0011,1407627.0011
600192.SH,20191030,5.05,0.6683,1.0914,0.87,192.7313,264.2958,1.1514,1.2504,1.2946,44174.8,44174.8,27047.5247,223082.74,223082.74
600743.SH,20191030,2.41,0.2729,0.6934,1.23,7.5392,7.4679,0.7199,0.8277,0.8162,234610.0874,234610.0874,92329.6035,565410.3106,565410.3106
002561.SZ,20191030,8.11,0.2489,0.416,1.25,14.5786,15.8083,1.5105,1.6294,1.7036,41576.3,39714.9645,23764.4944,337183.793,322088.3621
002590.SZ,20191030,6.74,0.4717,1.0445,1.01,,,1.7891,1.4335,1.5412,47964.6926,43447.5848,19623.0508,323282.0281,292836.7216
000513.SZ,20191030,29.32,1.3115,2.1856,0.73,25.3261,23.189,2.5236,3.0931,2.9425,93476.2675,59558.9142,35738.1518,2740724.1631,1746267.3643
300496.SZ,20191030,39.53,3.4451,4.1949,0.7,96.9231,73.5335,9.349,10.8733,8.6575,40285.5647,28268.8697,23216.174,1592488.3726,1117468.4192
600085.SH,20191030,27.36,0.3374,0.7094,0.9,33.0812,32.471,4.0724,2.6409,2.6615,137147.0262,137147.0262,65216.1722,3752342.6368,3752342.6368
002953.SZ,20191030,22.18,4.6365,4.6365,1.19,33.0234,34.635,4.1586,2.4564,2.5477,17207.9292,4302.0,4302.0,381671.8697,95418.36
300370.SZ,20191030,3.29,4.6521,4.8408,0.9,,,3.675,2.2968,2.3876,95714.6344,72244.457,69427.9006,314901.1472,237684.2635
600088.SH,20191030,13.54,1.4346,3.3493,1.41,47.0217,47.7049,4.4078,6.6408,6.3155,39770.64,39770.64,17035.1996,538494.4656,538494.4656
300380.SZ,20191030,20.45,3.053,5.7247,0.98,96.1994,86.0564,6.4819,5.137,4.7146,13744.0,12120.1177,6463.6881,281064.8,247856.407
600558.SH,20191030,3.13,0.3719,0.5562,1.25,45.2311,84.4733,1.4501,1.0915,0.9967,89760.4831,89760.4831,60015.0432,280950.3121,280950.3121
002254.SZ,20191030,10.38,0.7289,1.1301,1.47,40.5504,38.1632,2.782,2.9185,2.5631,61083.36,61082.7019,39395.9019,634045.2768,634038.4457
300120.SZ,20191030,6.02,0.7184,0.7756,0.91,20.785,21.7774,1.1685,1.3564,1.2518,46475.6611,23422.9161,21695.5758,279783.4798,141005.9549
603595.SH,20191030,30.03,2.8174,2.8188,0.65,55.7241,,6.3423,7.3701,10.6055,21411.0651,6969.0544,6965.4228,642974.285,209280.7036
300338.SZ,20191030,10.17,1.3077,1.3672,1.25,35.4087,80.0637,1.6378,2.4013,2.0769,34328.9092,19871.5873,19007.4366,349125.0066,202094.0428
002222.SZ,20191030,10.91,1.147,1.5369,0.76,31.0094,35.9095,4.9333,9.4928,9.4654,42750.0,42292.4999,31562.9525,466402.5,461411.1739
002240.SZ,20191030,7.13,0.8532,1.1822,1.48,23.8541,33.0421,1.7022,1.5125,1.6023,53534.3457,49063.1775,35405.8967,381699.8848,349820.4556
600285.SH,20191030,9.03,3.1177,4.1973,1.95,21.0772,17.5409,2.4832,2.4973,2.3856,56780.8992,56780.8992,42175.7779,512731.5198,512731.5198
603042.SH,20191030,16.1,3.645,4.7601,0.72,,,2.8015,2.1255,2.3702,13600.0,10102.8572,7736.2099,218960.0,162656.0009
002017.SZ,20191030,14.68,2.9293,5.3617,0.66,167.1752,171.538,4.7305,5.6861,5.6357,44648.6084,44494.4856,24308.5007,655441.5713,653179.0486
600171.SH,20191030,15.42,2.2038,2.9962,1.03,106.3654,58.7696,3.6894,13.8373,12.8617,70384.0714,67380.7773,49560.7773,1085322.381,1039011.586
600476.SH,20191030,16.18,1.6594,2.7353,0.63,1594.3029,,12.5404,8.397,7.1573,16107.0,16107.0,9771.228,260611.26,260611.26
300492.SZ,20191030,59.57,3.9398,9.8004,0.84,185.3155,162.9313,17.2112,22.9511,21.575,8320.0,6016.7914,2418.7802,495622.4,358420.2637
601901.SH,20191030,6.78,0.1005,0.2058,0.8,84.3915,43.5444,1.4438,9.7532,7.9944,823210.1395,823210.1395,402085.1679,5581364.7458,5581364.7458
601777.SH,20191030,3.0,2.2627,4.4306,1.64,15.5799,,0.8163,0.3579,0.4196,131375.7579,126409.4979,64555.2323,394127.2737,379228.4937
000610.SZ,20191030,8.62,2.3462,3.2343,1.03,21.1981,19.9483,2.3505,2.3037,2.227,23674.7901,23527.7769,17067.5624,204076.6907,202809.4369
300497.SZ,20191030,17.49,3.4495,4.8604,2.07,24.3666,19.9312,3.7372,4.0783,3.8325,27128.5848,19162.9158,13600.2932,474478.9482,335159.3973
002229.SZ,20191030,6.41,5.0355,6.2281,3.06,621.0994,449.7933,1.9297,4.527,4.8837,49834.4263,41028.4796,33172.1011,319438.6726,262992.5542
601918.SH,20191030,2.95,0.2651,0.4827,1.0,29.2431,32.4584,1.2568,0.8734,0.8694,259054.18,259054.18,142263.8996,764209.831,764209.831
002538.SZ,20191030,4.86,0.5001,0.8156,0.77,11.6282,11.098,0.9565,1.1162,1.061,71812.0283,69846.3008,42832.0708,349006.4575,339453.0219
603679.SH,20191030,46.08,3.546,4.1017,0.88,66.5401,45.2951,7.0712,8.916,6.9366,10187.0,4048.0659,3499.6506,469416.96,186534.8767
603516.SH,20191030,35.43,2.3035,3.7706,0.61,54.6192,41.0566,5.7019,16.839,12.9996,13096.538,8827.658,5392.978,464010.3413,312763.9229
600771.SH,20191030,16.63,0.8444,1.0285,0.57,21.8706,25.4149,3.3665,5.0544,5.6377,49199.9697,42279.4678,34712.7107,818195.4961,703107.5495
000962.SZ,20191030,6.93,0.5618,1.0366,1.06,102.2232,70.7025,2.6644,2.7888,4.189,44083.2644,44083.106,23891.426,305497.0223,305495.9246
002920.SZ,20191030,24.63,1.4833,1.4833,1.01,32.5542,61.3865,3.3799,2.5046,2.7685,55000.0,12235.0,12235.0,1354650.0,301348.05
002652.SZ,20191030,3.87,0.5479,1.0462,1.45,50.0371,108.9809,2.5972,0.7231,0.8036,51206.4,44713.6485,23414.6405,198168.768,173041.8197
603081.SH,20191030,16.0,13.6119,13.6119,0.73,27.9533,26.0036,3.606,3.581,3.3992,40180.0,7772.625,7772.625,642880.0,124362.0
002847.SZ,20191030,38.56,8.2363,8.2363,1.36,70.2151,47.0721,6.3175,4.4703,3.7094,12840.0,3606.8538,3606.8538,495110.4,139080.2825
300185.SZ,20191030,1.79,0.5268,0.6045,1.36,26.9332,25.0849,1.1118,1.6547,1.5755,326774.3928,272165.3644,237165.0746,584926.1631,487176.0023
600066.SH,20191030,14.14,0.4956,0.8419,0.95,13.6021,12.8899,1.9692,0.9861,0.942,221393.9223,221393.9223,130319.6908,3130510.0613,3130510.0613
000068.SZ,20191030,4.08,1.5462,2.6883,0.69,,,8.6181,19.9478,22.8996,100667.1464,100667.1464,57898.5569,410721.9573,410721.9573
603026.SH,20191030,35.07,1.8756,2.96,0.57,34.6067,21.014,3.939,1.3332,1.4113,20268.0,20268.0,12842.6976,710798.76,710798.76
002079.SZ,20191030,7.47,2.9232,4.8284,2.0,57.5137,54.2323,3.3203,2.8844,2.9362,72797.1487,72613.4008,43961.7056,543794.7008,542422.104
600458.SH,20191030,6.94,1.761,3.5063,1.75,,,1.1917,0.4644,0.4812,80279.8152,80279.8152,40320.222,557141.9175,557141.9175
000823.SZ,20191030,10.21,1.9798,2.8409,0.97,20.317,18.708,1.5843,1.1095,1.1286,53696.6,53692.0512,37417.8712,548242.286,548195.8428
300176.SZ,20191030,9.65,3.0511,4.514,1.35,10.1104,,3.414,1.0858,2.0456,38728.08,36779.5968,24859.7932,373725.972,354923.1091
000016.SZ,20191030,4.16,0.5885,0.8758,1.11,24.3552,23.7223,1.2523,0.2172,0.1837,240794.5408,159657.43,107282.7368,1001705.2897,664174.9088
600287.SH,20191030,5.92,0.8693,1.7377,1.35,30.266,14.0325,1.2051,0.482,0.5368,43679.6074,43679.6074,21851.7719,258583.2758,258583.2758
002289.SZ,20191030,6.59,0.2401,0.39,0.72,,,6.7108,5.6946,7.2917,28025.3733,25876.7577,15930.4889,184687.21,170527.8332
600901.SH,20191030,5.97,0.3737,0.8119,0.74,14.2524,11.8682,1.5344,7.3177,6.1892,298664.9968,182044.9968,83791.77,1783030.0309,1086808.6309
002353.SZ,20191030,30.0,1.3382,1.982,1.02,46.7062,24.8271,3.0966,6.2513,4.8455,95785.3992,66602.9647,44969.2838,2873561.976,1998088.941
300084.SZ,20191030,4.74,0.9933,1.1375,1.01,27.6601,42.081,0.9926,2.5987,2.6199,38476.5738,32975.2181,28793.4935,182378.9598,156302.5338
002206.SZ,20191030,3.48,0.2563,0.3298,0.62,12.118,13.9858,1.5584,1.1924,1.095,122302.8645,97149.455,75495.6267,425613.9685,338080.1034
603045.SH,20191030,15.92,2.948,2.948,0.55,37.8848,32.8932,2.7705,1.6529,1.5875,13762.0,9493.2694,9493.2694,219091.04,151132.8488
603501.SH,20191030,107.45,3.6068,3.6068,1.68,668.5704,11178.6776,5.965,23.4137,25.6526,86366.2098,14053.5394,14053.5394,9280049.243,1510052.8085
603399.SH,20191030,10.9,0.9421,1.4322,0.59,31.2568,,2.5021,1.5976,1.8038,54675.0649,50805.0649,33421.0532,595958.2074,553775.2074
603288.SH,20191030,110.16,0.1176,0.467,0.91,68.1524,58.688,19.7474,17.463,15.5361,270036.934,270036.934,68018.9339,29747268.6494,29747268.6494
300158.SZ,20191030,4.81,0.586,1.0309,0.71,,,0.9036,1.453,1.1958,103305.466,100783.0672,57288.8746,496899.2915,484766.5532
002043.SZ,20191030,5.52,2.828,4.5921,1.61,12.9262,13.3769,2.5535,0.9931,0.9707,77475.6002,74251.8584,45727.939,427665.3131,409870.2584
000833.SZ,20191030,5.1,1.6378,2.0485,2.87,38.5285,80.5426,1.23,1.076,0.8858,66840.1851,37808.4222,30228.4222,340884.944,192822.9532
600833.SH,20191030,9.45,0.2801,0.5089,0.88,44.6775,37.5283,2.9035,1.7916,1.7525,22308.6347,22308.6347,12281.1613,210816.5979,210816.5979
002188.SZ,20191030,2.87,0.4377,0.5853,1.31,,,,5.883,14.0871,29562.7524,23788.184,17786.8838,84845.0994,68272.0881
000778.SZ,20191030,3.89,0.2634,0.4311,0.99,7.3879,9.7198,0.7368,0.3829,0.3793,399088.0176,392106.9772,239577.6033,1552452.3885,1525296.1413
002107.SZ,20191030,8.31,2.6515,5.5157,4.67,65.6688,58.2693,4.7743,3.8712,3.4991,36075.6,34921.019,16786.8713,299788.236,290193.6679
600758.SH,20191030,4.4,2.4994,4.5228,1.73,51.5282,48.6254,1.0558,0.7956,0.8608,132201.7394,78569.4505,43418.7459,581687.6534,345705.5822
000524.SZ,20191030,7.34,0.5872,1.2351,1.18,24.012,17.5147,1.8595,0.695,0.618,67020.8597,27230.1442,12944.9232,491933.1102,199869.2584
002320.SZ,20191030,8.26,0.6119,1.919,0.81,38.8599,46.9262,2.2055,7.7961,7.5186,99063.6972,83754.5775,26707.7281,818266.1389,691812.8102
600499.SH,20191030,3.97,0.3142,0.4454,0.8,,,1.3195,1.0314,0.9949,157720.5702,141146.4322,99548.3288,626150.6637,560351.3358
002503.SZ,20191030,2.28,0.8998,1.3309,0.64,19.0865,56.5988,1.2955,0.3813,0.515,309250.5396,212270.7917,143519.1688,705091.2303,483977.4051
002541.SZ,20191030,8.46,0.6679,0.9835,0.92,10.6492,10.5159,0.9393,0.5627,0.428,52371.8853,36952.4687,25095.5994,443066.1496,312617.8852
002478.SZ,20191030,6.03,1.4874,1.9393,0.71,12.0533,9.2704,1.3242,1.0768,1.0497,95999.2879,59698.4755,45785.9713,578875.706,359981.8073
300638.SZ,20191030,56.83,4.3928,4.3928,0.99,79.3479,46.0544,12.4572,5.5137,4.0215,12118.86,3990.0,3990.0,688714.8138,226751.7
600016.SH,20191030,6.16,0.1335,0.1385,0.93,5.3589,5.1536,0.6541,1.7204,1.5901,4378241.8502,3546212.3213,3418200.609,26969969.7972,21844667.8992
300162.SZ,20191030,8.06,3.454,5.0487,0.56,,,3.0003,3.8404,3.1437,34951.003,22919.6698,15680.2389,281705.0842,184732.5386
601595.SH,20191030,13.94,1.3192,1.3192,1.43,22.1614,20.3233,2.2094,4.9309,5.0154,37350.0,37350.0,37350.0,520659.0,520659.0
600408.SH,20191030,2.25,0.5379,0.786,1.2,2.7617,5.6,1.3757,0.257,0.2357,100680.0,100680.0,68899.2884,226530.0,226530.0
603269.SH,20191030,14.44,1.2788,1.4148,0.99,39.7987,39.4063,1.9985,2.1877,2.0539,9147.0,5909.5,5341.54,132082.68,85333.18
002669.SZ,20191030,13.01,0.8786,1.2013,0.73,40.8356,29.7699,1.5771,3.5386,3.6063,25249.2921,23492.0918,17182.5718,328493.2902,305632.1143
000878.SZ,20191030,10.45,0.8746,1.5903,0.57,142.3551,51.1213,2.1281,0.3745,0.2926,169967.856,141639.1956,77892.2238,1776164.0952,1480129.594
000888.SZ,20191030,6.25,0.7597,1.2578,1.2,15.7391,14.5266,1.3199,3.071,2.9989,52691.3102,52691.3102,31826.6608,329320.6888,329320.6888
000620.SZ,20191030,4.78,0.1758,0.4527,0.43,7.6414,8.6857,1.2429,0.6475,0.6737,189669.042,189661.4445,73634.1858,906618.0208,906581.7047
600851.SH,20191030,6.84,0.2631,0.3486,0.91,61.0443,64.8051,2.1627,7.5147,7.0714,120705.6692,73820.611,55720.9284,825626.7773,504932.9792
600726.SH,20191030,1.7,0.8622,2.0246,1.95,,,2.4283,0.3409,0.3229,196667.5153,153467.5151,65354.8686,334334.776,260894.7757
600378.SH,20191030,16.19,1.0713,1.8039,0.69,27.6596,17.811,2.4727,3.4713,2.034,89662.4657,20217.154,12006.774,1451635.3197,327315.7233
603697.SH,20191030,14.52,4.6858,4.6858,0.8,24.8147,23.7698,2.8757,4.0165,4.4711,30454.5,7950.0,7950.0,442199.34,115434.0
600676.SH,20191030,4.42,0.2737,0.4834,0.82,13.9402,20.9652,0.7826,0.4701,0.5196,102849.2944,96204.5335,54484.7903,454593.8812,425224.0381
300686.SZ,20191030,18.94,8.7137,9.8704,0.43,567.0917,40.956,5.2569,5.9493,2.5625,20446.4,8807.2242,7775.1723,387254.816,166808.8263
002092.SZ,20191030,6.45,0.5337,0.8,1.01,5.702,16.8159,0.7306,0.1972,0.1546,214644.9598,214634.6698,143184.6786,1384459.9907,1384393.6202
603661.SH,20191030,40.21,4.9721,4.9721,1.11,23.5214,15.4058,1.6394,1.7348,1.5538,10000.0,2875.0,2875.0,402100.0,115603.75
600393.SH,20191030,2.55,3.2377,3.5229,0.67,22.304,,1.0805,1.9745,2.0206,253624.787,98820.5552,90820.5552,646743.2069,251992.4158
300211.SZ,20191030,6.72,1.7144,1.7306,0.77,408.5093,360.5864,4.2729,15.8986,19.5297,30267.5973,14924.7047,14785.0849,203398.2539,100294.0156
300071.SZ,20191030,2.38,13.6623,16.5579,0.73,,,22.3274,0.4728,0.5629,67849.1488,48430.4921,39961.2119,161480.9741,115264.5712
002687.SZ,20191030,5.77,1.2899,1.7969,1.19,17.8751,15.2487,1.8933,2.0103,1.8469,35000.0,29376.5,21087.0,201950.0,169502.405
300785.SZ,20191030,145.0,17.5021,17.5021,0.94,80.7919,64.7955,11.1505,15.2353,12.6045,5333.3334,1333.3334,1333.3334,773333.343,193333.343
300740.SZ,20191030,9.69,6.3853,8.837,0.48,30.4764,141.9828,3.3044,1.7742,1.798,41112.0808,19956.8583,14419.994,398376.063,193381.9569
603822.SH,20191030,23.69,0.5238,0.8663,0.79,32.3312,29.6559,2.3571,1.6718,1.5611,7335.5023,7335.5023,4435.0123,173778.0495,173778.0495
002876.SZ,20191030,42.92,2.086,2.5696,0.64,161.1526,156.0266,4.9488,5.0554,3.49,10400.0,7053.5602,5726.1406,446368.0,302738.8038
000514.SZ,20191030,3.96,0.2959,0.8037,1.01,132.6941,135.6457,1.1123,6.1872,9.5357,84377.0965,84377.0965,31062.1866,334133.3021,334133.3021
600282.SH,20191030,3.07,0.8704,1.5353,2.24,3.3919,4.6147,0.8232,0.3115,0.2909,442845.3457,442845.3457,251061.8408,1359535.2113,1359535.2113
600741.SH,20191030,25.16,0.3123,0.7492,1.03,9.8817,12.0369,1.6488,0.5047,0.551,315272.3984,315272.3984,131406.0855,7932253.5437,7932253.5437
300558.SZ,20191030,53.65,2.1592,2.4685,0.81,128.9645,98.867,9.0748,17.574,13.9697,40100.0,16939.9427,14817.2592,2151365.0,908827.9259
000707.SZ,20191030,3.19,0.685,0.9147,0.72,10.9074,218.2153,9.0283,0.3927,0.5324,46414.5765,46414.4265,34758.1055,148062.499,148062.0205
603138.SH,20191030,16.41,6.5773,6.5773,0.89,63.8216,75.665,7.5997,6.4383,6.4731,21060.984,6701.436,6701.436,345610.7474,109970.5648
002423.SZ,20191030,9.62,0.8454,2.5949,0.74,,45.9774,1.3765,21.6131,29.3894,230410.5575,50298.6577,16387.143,2216549.5632,483873.0871
600838.SH,20191030,6.34,0.6921,0.9419,1.4,25.7788,25.5304,1.9622,35.8816,37.6189,40088.1981,40088.1981,29455.6988,254159.176,254159.176
002305.SZ,20191030,2.16,0.5527,1.1997,1.23,44.4122,44.2903,0.8386,0.9293,0.5976,173421.577,173173.5031,79779.4166,374590.6063,374054.7667
002833.SZ,20191030,32.88,0.4669,0.5657,0.36,16.4508,16.3473,3.5459,3.7238,3.5787,13528.13,5857.1825,4834.8125,444804.9144,192584.1606
