ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv
600281.SH,20191030,4.13,0.5417,0.971,1.45,,,5.2537,3.0105,4.3356,51440.2025,51440.2025,28699.9819,212448.0363,212448.0363
000001.SZ,20191030,16.43,0.4402,0.9933,0.92,12.8471,11.394,1.1892,2.7318,2.3971,1940591.8198,1940575.268,860111.1956,31883923.5993,31883651.6532
603085.SH,20191030,8.22,0.9406,2.4923,1.31,65.4493,112.9034,2.3699,2.4969,1.6858,29098.6132,29098.6132,10982.1319,239190.6005,239190.6005
002832.SZ,20191030,25.24,1.3797,1.3797,1.04,26.6234,19.5738,4.1784,5.2725,4.4718,30827.63,13429.83,13429.83,778089.3812,338968.9092
600519.SH,20191030,1183.8,0.1692,0.4727,0.85,42.2424,36.3369,11.8722,20.1943,18.0621,125619.78,125619.78,44961.3757,148708695.564,148708695.564
601965.SH,20191030,7.5,0.5139,1.513,2.2,18.0407,16.8232,1.6126,2.6377,2.9828,96997.8567,96117.9867,32646.5699,727483.9253,720884.9003
601003.SH,20191030,5.07,0.1825,1.043,1.13,2.8187,3.3887,1.2663,0.2744,0.2727,256279.32,256279.32,44836.0065,1299336.1524,1299336.1524
600231.SH,20191030,2.73,0.0848,0.329,0.66,6.3181,9.1293,0.9832,0.3641,0.3547,277108.2743,277108.2743,71376.5866,756505.5888,756505.5888
600489.SH,20191030,8.31,0.7824,1.5753,1.74,146.36,198.0769,2.1139,0.8324,0.8181,345113.7189,345113.7189,171397.1769,2867895.0041,2867895.0041
600336.SH,20191030,4.52,0.8274,1.5196,1.81,51.6776,33.4609,1.8898,0.6399,0.5835,79918.3269,73233.7025,39876.6824,361230.8376,331016.3353
300074.SZ,20191030,4.7,2.9398,3.7713,0.75,171.8634,104.8455,2.1012,5.6797,5.4943,54234.01,48562.4461,37855.4253,254899.847,228243.4967
603002.SH,20191030,4.14,2.0311,3.4597,0.55,50.8656,54.2454,2.2509,1.4101,1.5159,61441.17,61441.17,36070.97,254366.4438,254366.4438
