ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv
600016.SH,20191029,6.16,0.1055,0.1094,0.72,5.3589,5.1536,0.6541,1.7204,1.5901,4378241.8502,3546212.3213,3418200.609,26969969.7972,21844667.8992
600016.SH,20191028,6.18,0.1636,0.1697,1.15,5.3763,5.1704,0.6562,1.7259,1.5953,4378241.8502,3546212.3213,3418200.609,27057534.6342,21915592.1456
