ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv
002057.SZ,20191025,8.84,3.5908,5.2817,1.19,41.5806,39.4353,3.7082,3.9749,3.8158,57528.7776,47946.4106,32596.6515,508554.394,423846.2697
000519.SZ,20191025,7.53,1.4203,1.841,0.78,30.2032,29.6898,1.3158,2.1168,2.06,139255.8982,93264.7561,71951.7302,1048596.9134,702283.6134
300649.SZ,20191025,20.63,1.1775,1.1775,0.79,50.4696,44.0751,7.0363,5.0472,4.8267,12800.0,3200.0,3200.0,264064.0,66016.0
600456.SH,20191025,22.76,0.7194,1.5321,0.55,69.4074,45.6853,2.6671,2.8716,2.425,43026.57,43026.57,20203.8402,979284.7332,979284.7332
300680.SZ,20191025,20.97,4.3759,4.5745,1.08,407.1768,147.1222,2.943,6.8782,4.5917,7431.2721,4144.6823,3964.6823,155833.7759,86913.9878
603882.SH,20191025,52.7,1.9325,3.0279,0.68,103.4218,62.1854,11.027,5.3324,4.7056,45788.4577,27963.9368,17847.5408,2413051.7208,1473699.4694
000731.SZ,20191025,5.26,0.2865,0.3263,0.98,14.1678,19.3986,1.1189,1.1785,1.0539,59148.4352,59148.4352,51943.08,311120.7692,311120.7692
002080.SZ,20191025,9.56,0.5287,1.3296,0.91,17.1739,13.2865,1.5592,1.4015,1.2172,167812.3584,167812.3584,66724.898,1604286.1463,1604286.1463
300715.SZ,20191025,22.73,8.1848,8.1848,2.75,46.0282,31.3546,5.9862,4.8386,3.3491,13183.3,3870.0,3870.0,299656.409,87965.1
600876.SH,20191025,12.5,7.3905,19.5489,0.93,447.2565,117.407,5.4176,4.9884,4.0777,55979.7391,27979.6151,10577.7909,699746.7388,349745.1888
603633.SH,20191025,9.14,1.1535,1.6624,0.99,42.8656,42.3972,2.5085,4.2799,4.2538,20339.15,14033.3625,9737.6113,185899.831,128264.9333
000404.SZ,20191025,3.94,0.3329,0.5105,0.83,38.0087,38.8086,0.8424,0.3077,0.3014,69599.5979,69462.2798,45287.7826,274222.4157,273681.3824
002034.SZ,20191025,16.65,1.0905,1.7153,0.74,22.6445,17.6037,1.7396,8.2917,6.4085,41656.5045,25904.4889,16469.2419,693580.7999,431309.7402
000065.SZ,20191025,8.44,0.2704,0.5821,0.59,11.0232,10.6858,1.4521,0.6507,0.6694,76950.541,62894.3607,29217.6094,649462.566,530828.4043
000766.SZ,20191025,7.3,1.7748,2.7178,1.75,21.3246,22.7544,1.4608,3.3685,3.2807,96649.4707,70702.4245,46170.1586,705541.1361,516127.6989
002381.SZ,20191025,8.27,2.3408,3.2039,0.83,21.7669,15.2641,1.9851,2.5061,2.3524,41157.2264,31296.0244,22865.0696,340370.2623,258818.1218
002355.SZ,20191025,6.39,0.7091,1.0143,0.6,,,1.4222,2.0985,2.0607,62057.04,57784.6869,40399.8869,396544.4856,369244.1493
000950.SZ,20191025,5.84,1.0028,1.9126,1.46,14.6128,11.3681,1.2561,0.3911,0.3102,172818.4696,86813.2776,45516.3416,1009259.8625,506989.5412
