FSRQ,DWJZ,JZZZL,SGZT,SHZT
2018-04-24,1.0,,开放申购,开放赎回
2018-04-25,0.995,,开放申购,开放赎回
2018-04-26,0.9769,,开放申购,开放赎回
2018-04-27,0.9773,,开放申购,开放赎回
2018-05-02,0.9788,,开放申购,开放赎回
2018-05-03,0.9859,,开放申购,开放赎回
2018-05-04,0.9821,,开放申购,开放赎回
2018-05-07,0.9968,,开放申购,开放赎回
2018-05-08,1.0075,,开放申购,开放赎回
2018-05-09,1.0058,,开放申购,开放赎回
2018-05-10,1.0112,,开放申购,开放赎回
2018-05-11,1.006,,开放申购,开放赎回
2018-05-14,1.0148,,开放申购,开放赎回
2018-05-15,1.0186,,开放申购,开放赎回
2018-05-16,1.0112,,开放申购,开放赎回
2018-05-17,1.0041,,开放申购,开放赎回
2018-05-18,1.0137,,开放申购,开放赎回
2018-05-21,1.0181,,开放申购,开放赎回
2018-05-22,1.0152,,开放申购,开放赎回
2018-05-23,1.0026,,开放申购,开放赎回
2018-05-24,0.9963,,开放申购,开放赎回
2018-05-25,0.9947,,开放申购,开放赎回
2018-05-28,0.999,,开放申购,开放赎回
2018-05-29,0.9914,,开放申购,开放赎回
2018-05-30,0.972,,开放申购,开放赎回
2018-05-31,0.9919,,开放申购,开放赎回
2018-06-01,0.9835,,开放申购,开放赎回
2018-06-04,0.9925,,开放申购,开放赎回
2018-06-05,1.0026,,开放申购,开放赎回
2018-06-06,1.001,,开放申购,开放赎回
2018-06-07,1.0007,,开放申购,开放赎回
2018-06-08,0.9888,,开放申购,开放赎回
2018-06-11,0.9885,,开放申购,开放赎回
2018-06-12,1.0002,,开放申购,开放赎回
2018-06-13,0.9914,,开放申购,开放赎回
2018-06-14,0.9882,,开放申购,开放赎回
2018-06-15,0.9847,,开放申购,开放赎回
2018-06-19,0.9516,,开放申购,开放赎回
2018-06-20,0.9559,,开放申购,开放赎回
2018-06-21,0.9454,,开放申购,开放赎回
2018-06-22,0.9501,,开放申购,开放赎回
2018-06-25,0.938,,开放申购,开放赎回
2018-06-26,0.9308,,开放申购,开放赎回
2018-06-27,0.913,,开放申购,开放赎回
2018-06-28,0.9042,,开放申购,开放赎回
2018-06-29,0.9268,,开放申购,开放赎回
2018-06-30,0.9268,,开放申购,开放赎回
2018-07-02,0.9014,,开放申购,开放赎回
2018-07-03,0.9014,,开放申购,开放赎回
2018-07-04,0.8902,,开放申购,开放赎回
2018-07-05,0.8852,,开放申购,开放赎回
2018-07-06,0.8912,,开放申购,开放赎回
2018-07-09,0.9149,,开放申购,开放赎回
2018-07-10,0.9175,,开放申购,开放赎回
2018-07-11,0.9027,,开放申购,开放赎回
2018-07-12,0.9223,,开放申购,开放赎回
2018-07-13,0.9262,,开放申购,开放赎回
2018-07-16,0.922,,开放申购,开放赎回
2018-07-17,0.9174,,开放申购,开放赎回
2018-07-18,0.913,,开放申购,开放赎回
2018-07-19,0.9122,,开放申购,开放赎回
2018-07-20,0.9287,,开放申购,开放赎回
2018-07-23,0.9367,,开放申购,开放赎回
2018-07-24,0.9509,,开放申购,开放赎回
2018-07-25,0.9499,,开放申购,开放赎回
2018-07-26,0.9395,,开放申购,开放赎回
2018-07-27,0.9361,,开放申购,开放赎回
2018-07-30,0.9345,,开放申购,开放赎回
2018-07-31,0.9352,,开放申购,开放赎回
2018-08-01,0.9176,,开放申购,开放赎回
2018-08-02,0.8988,,开放申购,开放赎回
2018-08-03,0.8847,,开放申购,开放赎回
2018-08-06,0.8741,,开放申购,开放赎回
2018-08-07,0.8981,,开放申购,开放赎回
2018-08-08,0.8847,,开放申购,开放赎回
2018-08-09,0.9058,,开放申购,开放赎回
2018-08-10,0.9077,,开放申购,开放赎回
2018-08-13,0.904,,开放申购,开放赎回
2018-08-14,0.8996,,开放申购,开放赎回
2018-08-15,0.8791,,开放申购,开放赎回
2018-08-16,0.8752,,开放申购,开放赎回
2018-08-17,0.8632,,开放申购,开放赎回
2018-08-20,0.8724,,开放申购,开放赎回
2018-08-21,0.8874,,开放申购,开放赎回
2018-08-22,0.8828,,开放申购,开放赎回
2018-08-23,0.8861,,开放申购,开放赎回
2018-08-24,0.8877,,开放申购,开放赎回
2018-08-27,0.9084,,开放申购,开放赎回
2018-08-28,0.9068,,开放申购,开放赎回
2018-08-29,0.9031,,开放申购,开放赎回
2018-08-30,0.8943,,开放申购,开放赎回
2018-08-31,0.8902,,开放申购,开放赎回
2018-09-03,0.8871,,开放申购,开放赎回
2018-09-04,0.8975,,开放申购,开放赎回
2018-09-05,0.881,,开放申购,开放赎回
2018-09-06,0.8726,,开放申购,开放赎回
2018-09-07,0.8762,,开放申购,开放赎回
2018-09-10,0.8641,,开放申购,开放赎回
2018-09-11,0.8624,,开放申购,开放赎回
2018-09-12,0.8571,,开放申购,开放赎回
2018-09-13,0.8656,,开放申购,开放赎回
2018-09-14,0.867,,开放申购,开放赎回
2018-09-17,0.8576,,开放申购,开放赎回
2018-09-18,0.8738,,开放申购,开放赎回
2018-09-19,0.8846,,开放申购,开放赎回
2018-09-20,0.884,,开放申购,开放赎回
2018-09-21,0.9093,,开放申购,开放赎回
2018-09-25,0.9014,,开放申购,开放赎回
2018-09-26,0.9107,,开放申购,开放赎回
2018-09-27,0.9072,,开放申购,开放赎回
2018-09-28,0.916,,开放申购,开放赎回
2018-09-30,0.916,,开放申购,开放赎回
