FSRQ,DWJZ,JZZZL,SGZT,SHZT
2018-01-02,1.1250,0.09,暂停申购,开放赎回
2018-01-03,1.1260,0.09,暂停申购,开放赎回
2018-01-04,1.1270,0.09,暂停申购,开放赎回
2018-01-05,1.1270,0.00,暂停申购,开放赎回
2018-01-08,1.1280,0.09,暂停申购,开放赎回
2018-01-09,1.1280,0.00,暂停申购,开放赎回
2018-01-10,1.1280,0.00,暂停申购,开放赎回
2018-01-11,1.1280,0.00,暂停申购,开放赎回
2018-01-12,1.1280,0.00,暂停申购,开放赎回
2018-01-15,1.1290,0.09,暂停申购,开放赎回
2018-01-16,1.1290,0.00,暂停申购,开放赎回
2018-01-17,1.1290,0.00,暂停申购,开放赎回
2018-01-18,1.1290,0.00,暂停申购,开放赎回
2018-01-19,1.1290,0.00,暂停申购,开放赎回
2018-01-22,1.1290,0.00,暂停申购,开放赎回
2018-01-23,1.1290,0.00,暂停申购,开放赎回
2018-01-24,1.1290,0.00,暂停申购,开放赎回
2018-01-25,1.1300,0.09,暂停申购,开放赎回
2018-01-26,1.1300,0.00,暂停申购,开放赎回
2018-01-29,1.1300,0.00,暂停申购,开放赎回
2018-01-30,1.1310,0.09,暂停申购,开放赎回
2018-01-31,1.1310,0.00,暂停申购,开放赎回
2018-02-01,1.1310,0.00,暂停申购,开放赎回
2018-02-02,1.1310,0.00,暂停申购,开放赎回
2018-02-05,1.1320,0.09,暂停申购,开放赎回
2018-02-06,1.1320,0.00,暂停申购,开放赎回
2018-02-07,1.1320,0.00,暂停申购,开放赎回
2018-02-08,1.1330,0.09,暂停申购,开放赎回
2018-02-09,1.1330,0.00,暂停申购,开放赎回
2018-02-12,1.1330,0.00,暂停申购,开放赎回
2018-02-13,1.1330,0.00,暂停申购,开放赎回
2018-02-14,1.1340,0.09,暂停申购,开放赎回
2018-02-22,1.1350,0.09,暂停申购,开放赎回
2018-02-23,1.1350,0.00,暂停申购,开放赎回
2018-02-26,1.1350,0.00,暂停申购,开放赎回
2018-02-27,1.1360,0.09,暂停申购,开放赎回
2018-02-28,1.1360,0.00,暂停申购,开放赎回
2018-03-01,1.1360,0.00,暂停申购,开放赎回
2018-03-02,1.1360,0.00,暂停申购,开放赎回
2018-03-05,1.1360,0.00,暂停申购,开放赎回
2018-03-06,1.1350,-0.09,暂停申购,开放赎回
2018-03-07,1.1350,0.00,暂停申购,开放赎回
2018-03-08,1.1350,0.00,暂停申购,开放赎回
2018-03-09,1.1350,0.00,暂停申购,开放赎回
2018-03-12,1.1360,0.09,暂停申购,开放赎回
2018-03-13,1.1360,0.00,暂停申购,开放赎回
2018-03-14,1.1370,0.09,暂停申购,开放赎回
2018-03-15,1.1370,0.00,暂停申购,开放赎回
2018-03-16,1.1370,0.00,暂停申购,开放赎回
2018-03-19,1.1380,0.09,暂停申购,开放赎回
2018-03-20,1.1380,0.00,暂停申购,开放赎回
2018-03-21,1.1380,0.00,暂停申购,开放赎回
2018-03-22,1.1390,0.09,暂停申购,开放赎回
2018-03-23,1.1400,0.09,暂停申购,开放赎回
2018-03-26,1.1410,0.09,暂停申购,开放赎回
2018-03-27,1.1410,0.00,暂停申购,开放赎回
2018-03-28,1.1400,-0.09,暂停申购,开放赎回
2018-03-29,1.1410,0.09,暂停申购,开放赎回
2018-03-30,1.1390,-0.18,暂停申购,开放赎回
2018-04-02,1.1400,0.09,暂停申购,开放赎回
2018-04-03,1.1400,0.00,暂停申购,开放赎回
