cal_date,is_open,pretrade_date
20010108,1,20010105
20010109,1,20010108
20010110,1,20010109
20010111,1,20010110
20010112,1,20010111
20010113,0,20010112
20010114,0,20010112
20010115,1,20010112
20010116,1,20010115
20010117,1,20010116
20010118,1,20010117
20010119,1,20010118
20010120,0,20010119
20010121,0,20010119
20010122,0,20010119
20010123,0,20010119
20010124,0,20010119
20010125,0,20010119
20010126,0,20010119
20010127,0,20010119
20010128,0,20010119
20010129,0,20010119
20010130,0,20010119
20010131,0,20010119
20010201,0,20010119
20010202,0,20010119
20010203,0,20010119
20010204,0,20010119
20010205,1,20010119
20010206,1,20010205
20010207,1,20010206
20010208,1,20010207
20010209,1,20010208
20010210,0,20010209
20010211,0,20010209
20010212,1,20010209
20010213,1,20010212
20010214,1,20010213
20010215,1,20010214
20010216,1,20010215
20010217,0,20010216
20010218,0,20010216
20010219,1,20010216
20010220,1,20010219
20010221,1,20010220
20010222,1,20010221
20010223,1,20010222
20010224,0,20010223
20010225,0,20010223
20010226,1,20010223
20010227,1,20010226
20010228,1,20010227
20010301,1,20010228
20010302,1,20010301
20010303,0,20010302
20010304,0,20010302
20010305,1,20010302
20010306,1,20010305
20010307,1,20010306
20010308,1,20010307
20010309,1,20010308
20010310,0,20010309
20010311,0,20010309
20010312,1,20010309
20010313,1,20010312
20010314,1,20010313
20010315,1,20010314
20010316,1,20010315
20010317,0,20010316
20010318,0,20010316
20010319,1,20010316
20010320,1,20010319
20010321,1,20010320
20010322,1,20010321
20010323,1,20010322
20010324,0,20010323
20010325,0,20010323
20010326,1,20010323
20010327,1,20010326
20010328,1,20010327
20010329,1,20010328
20010330,1,20010329
20010331,0,20010330
20010401,0,20010330
20010402,1,20010330
20010403,1,20010402
20010404,1,20010403
20010405,1,20010404
20010406,1,20010405
20010407,0,20010406
20010408,0,20010406
20010409,1,20010406
20010410,1,20010409
20010411,1,20010410
20010412,1,20010411
20010413,1,20010412
20010414,0,20010413
20010415,0,20010413
20010416,1,20010413
20010417,1,20010416
20010418,1,20010417
20010419,1,20010418
20010420,1,20010419
20010421,0,20010420
20010422,0,20010420
20010423,1,20010420
20010424,1,20010423
20010425,1,20010424
20010426,1,20010425
20010427,1,20010426
20010428,0,20010427
20010429,0,20010427
20010430,1,20010427
20010501,0,20010430
20010502,0,20010430
20010503,0,20010430
20010504,0,20010430
20010505,0,20010430
20010506,0,20010430
20010507,0,20010430
20010508,1,20010430
20010509,1,20010508
20010510,1,20010509
20010511,1,20010510
20010512,0,20010511
20010513,0,20010511
20010514,1,20010511
20010515,1,20010514
20010516,1,20010515
20010517,1,20010516
20010518,1,20010517
20010519,0,20010518
20010520,0,20010518
20010521,1,20010518
20010522,1,20010521
20010523,1,20010522
20010524,1,20010523
20010525,1,20010524
20010526,0,20010525
20010527,0,20010525
20010528,1,20010525
20010529,1,20010528
20010530,1,20010529
20010531,1,20010530
20010601,1,20010531
20010602,0,20010601
20010603,0,20010601
20010604,1,20010601
20010605,1,20010604
20010606,1,20010605
20010607,1,20010606
20010608,1,20010607
20010609,0,20010608
20010610,0,20010608
20010611,1,20010608
20010612,1,20010611
20010613,1,20010612
20010614,1,20010613
20010615,1,20010614
20010616,0,20010615
20010617,0,20010615
20010618,1,20010615
20010619,1,20010618
20010620,1,20010619
20010621,1,20010620
20010622,1,20010621
20010623,0,20010622
20010624,0,20010622
20010625,1,20010622
20010626,1,20010625
20010627,1,20010626
20010628,1,20010627
20010629,1,20010628
20010630,0,20010629
20010701,0,20010629
20010702,1,20010629
20010703,1,20010702
20010704,1,20010703
20010705,1,20010704
20010706,1,20010705
20010707,0,20010706
20010708,0,20010706
20010709,1,20010706
20010710,1,20010709
20010711,1,20010710
20010712,1,20010711
20010713,1,20010712
20010714,0,20010713
20010715,0,20010713
20010716,1,20010713
20010717,1,20010716
20010718,1,20010717
20010719,1,20010718
20010720,1,20010719
20010721,0,20010720
20010722,0,20010720
20010723,1,20010720
20010724,1,20010723
20010725,1,20010724
20010726,1,20010725
20010727,1,20010726
20010728,0,20010727
20010729,0,20010727
20010730,1,20010727
20010731,1,20010730
20010801,1,20010731
20010802,1,20010801
20010803,1,20010802
20010804,0,20010803
20010805,0,20010803
20010806,1,20010803
20010807,1,20010806
20010808,1,20010807
20010809,1,20010808
20010810,1,20010809
20010811,0,20010810
20010812,0,20010810
20010813,1,20010810
20010814,1,20010813
20010815,1,20010814
20010816,1,20010815
20010817,1,20010816
20010818,0,20010817
20010819,0,20010817
20010820,1,20010817
20010821,1,20010820
