,date,code,name,weight
147,2019-09-30,601688,华泰证券,0.56
148,2019-09-30,601727,上海电气,0.14
149,2019-09-30,601766,中国中车,0.58
150,2019-09-30,601788,光大证券,0.18
151,2019-09-30,601800,中国交建,0.19
152,2019-09-30,601808,中海油服,0.06
153,2019-09-30,601818,光大银行,0.51
154,2019-09-30,601828,美凯龙,0.04
155,2019-09-30,601838,成都银行,0.12
156,2019-09-30,601857,中国石油,0.4
157,2019-09-30,601877,正泰电器,0.15
158,2019-09-30,601878,浙商证券,0.09
159,2019-09-30,601881,中国银河,0.11
160,2019-09-30,601888,中国国旅,0.73
161,2019-09-30,601898,中煤能源,0.07
162,2019-09-30,601899,紫金矿业,0.32
163,2019-09-30,601901,方正证券,0.23
164,2019-09-30,601919,中远海控,0.15
165,2019-09-30,601933,永辉超市,0.28
166,2019-09-30,601939,建设银行,0.38
167,2019-09-30,601985,中国核电,0.2
168,2019-09-30,601988,中国银行,0.61
169,2019-09-30,601989,中国重工,0.41
170,2019-09-30,601992,金隅集团,0.09
171,2019-09-30,601997,贵阳银行,0.13
172,2019-09-30,601998,中信银行,0.14
173,2019-09-30,603019,中科曙光,0.18
174,2019-09-30,603156,养元饮品,0.1
175,2019-09-30,603160,汇顶科技,0.15
176,2019-09-30,603259,药明康德,0.1
177,2019-09-30,603260,合盛硅业,0.04
178,2019-09-30,603288,海天味业,0.72
179,2019-09-30,603799,华友钴业,0.14
180,2019-09-30,603833,欧派家居,0.11
181,2019-09-30,603858,步长制药,0.09
182,2019-09-30,603986,兆易创新,0.18
183,2019-09-30,603993,洛阳钼业,0.21
184,2019-09-30,000001,平安银行,1.19
185,2019-09-30,000002,万科Ａ,1.02
186,2019-09-30,000063,中兴通讯,0.61
187,2019-09-30,000069,华侨城Ａ,0.23
188,2019-09-30,000100,TCL集团,0.31
189,2019-09-30,000157,中联重科,0.24
190,2019-09-30,000166,申万宏源,0.35
191,2019-09-30,000333,美的集团,2.0
192,2019-09-30,000338,潍柴动力,0.43
193,2019-09-30,000402,金 融 街,0.07
194,2019-09-30,000408,藏格控股,0.04
195,2019-09-30,000413,东旭光电,0.2
196,2019-09-30,000415,渤海租赁,0.05
197,2019-09-30,000423,东阿阿胶,0.11
198,2019-09-30,000425,徐工机械,0.17
199,2019-09-30,000538,云南白药,0.31
200,2019-09-30,000553,安道麦A,0.03
201,2019-09-30,000568,泸州老窖,0.5
202,2019-09-30,000596,古井贡酒,0.11
203,2019-09-30,000625,长安汽车,0.12
204,2019-09-30,000627,天茂集团,0.11
205,2019-09-30,000629,攀钢钒钛,0.1
206,2019-09-30,000630,铜陵有色,0.11
207,2019-09-30,000651,格力电器,2.23
208,2019-09-30,000656,金科股份,0.11
209,2019-09-30,000661,长春高新,0.43
210,2019-09-30,000671,阳光城,0.08
211,2019-09-30,000703,恒逸石化,0.12
212,2019-09-30,000709,河钢股份,0.09
213,2019-09-30,000725,京东方A,0.72
214,2019-09-30,000728,国元证券,0.14
215,2019-09-30,000768,中航飞机,0.17
216,2019-09-30,000776,广发证券,0.32
217,2019-09-30,000783,长江证券,0.22
218,2019-09-30,000786,北新建材,0.12
219,2019-09-30,000858,五 粮 液,2.03
220,2019-09-30,000876,新 希 望,0.29
221,2019-09-30,000895,双汇发展,0.2
222,2019-09-30,000898,鞍钢股份,0.06
223,2019-09-30,000938,紫光股份,0.07
224,2019-09-30,000961,中南建设,0.12
225,2019-09-30,000963,华东医药,0.19
226,2019-09-30,001979,招商蛇口,0.36
227,2019-09-30,002001,新和成,0.22
228,2019-09-30,002007,华兰生物,0.23
229,2019-09-30,002008,大族激光,0.25
230,2019-09-30,002010,传化智联,0.08
231,2019-09-30,002024,苏宁易购,0.31
232,2019-09-30,002027,分众传媒,0.44
233,2019-09-30,002032,苏泊尔,0.1
234,2019-09-30,002044,美年健康,0.22
235,2019-09-30,002050,三花智控,0.15
236,2019-09-30,002065,东华软件,0.1
237,2019-09-30,002081,金螳螂,0.12
238,2019-09-30,002120,韵达股份,0.08
239,2019-09-30,002142,宁波银行,0.57
240,2019-09-30,002146,荣盛发展,0.12
241,2019-09-30,002153,石基信息,0.1
242,2019-09-30,002179,中航光电,0.17
243,2019-09-30,002202,金风科技,0.28
244,2019-09-30,002230,科大讯飞,0.4
245,2019-09-30,002236,大华股份,0.25
246,2019-09-30,002241,歌尔股份,0.28
247,2019-09-30,002252,上海莱士,0.09
248,2019-09-30,002271,东方雨虹,0.15
249,2019-09-30,002294,信立泰,0.06
250,2019-09-30,002304,洋河股份,0.51
251,2019-09-30,002310,东方园林,0.07
252,2019-09-30,002311,海大集团,0.2
253,2019-09-30,002352,顺丰控股,0.2
254,2019-09-30,002410,广联达,0.19
255,2019-09-30,002411,延安必康,0.06
256,2019-09-30,002415,海康威视,0.97
257,2019-09-30,002422,科伦药业,0.18
258,2019-09-30,002456,欧菲光,0.18
259,2019-09-30,002460,赣锋锂业,0.14
260,2019-09-30,002466,天齐锂业,0.15
261,2019-09-30,002468,申通快递,0.06
262,2019-09-30,002475,立讯精密,0.69
263,2019-09-30,002493,荣盛石化,0.11
264,2019-09-30,002508,老板电器,0.1
265,2019-09-30,002555,三七互娱,0.16
266,2019-09-30,002558,巨人网络,0.09
267,2019-09-30,002594,比亚迪,0.36
268,2019-09-30,002601,龙蟒佰利,0.06
269,2019-09-30,002602,世纪华通,0.13
270,2019-09-30,002624,完美世界,0.12
271,2019-09-30,002625,光启技术,0.03
272,2019-09-30,002673,西部证券,0.13
273,2019-09-30,002714,牧原股份,0.47
274,2019-09-30,002736,国信证券,0.24
275,2019-09-30,002739,万达电影,0.12
276,2019-09-30,002773,康弘药业,0.07
277,2019-09-30,002925,盈趣科技,0.05
278,2019-09-30,002938,鹏鼎控股,0.08
279,2019-09-30,002939,长城证券,0.04
280,2019-09-30,002945,华林证券,0.04
281,2019-09-30,300003,乐普医疗,0.22
282,2019-09-30,300015,爱尔眼科,0.36
283,2019-09-30,300017,网宿科技,0.16
284,2019-09-30,300024,机器人,0.13
285,2019-09-30,300033,同花顺,0.17
286,2019-09-30,300059,东方财富,0.64
287,2019-09-30,300070,碧水源,0.1
288,2019-09-30,300072,三聚环保,0.06
289,2019-09-30,300122,智飞生物,0.18
290,2019-09-30,300124,汇川技术,0.2
291,2019-09-30,300136,信维通信,0.23
292,2019-09-30,300142,沃森生物,0.27
293,2019-09-30,300144,宋城演艺,0.16
294,2019-09-30,300251,光线传媒,0.07
295,2019-09-30,300296,利亚德,0.1
296,2019-09-30,300408,三环集团,0.17
297,2019-09-30,300413,芒果超媒,0.08
298,2019-09-30,300433,蓝思科技,0.07
299,2019-09-30,300498,温氏股份,1.12
