code,symbol,name,industry
300468,,四方精创,软件服务
300766,,每日互动,互联网
000049,,德赛电池,电气设备
300481,,濮阳惠成,化工原料
300200,,高盟新材,化工原料
300715,,凯伦股份,其他建材
600439,,瑞贝卡,服饰
600097,,开创国际,渔业
300498,,温氏股份,农业综合
603588,,高能环境,环境保护
000400,,许继电气,电气设备
002670,,国盛金控,证券
300253,,卫宁健康,软件服务
603790,,雅运股份,染料涂料
002321,,华英农业,农业综合
600743,,华远地产,区域地产
600242,,中昌数据,软件服务
600305,,恒顺醋业,食品
600222,,太龙药业,中成药
600211,,西藏药业,中成药
300263,,隆华科技,专用机械
600077,,宋都股份,全国地产
300094,,国联水产,渔业
600584,,长电科技,半导体
603006,,联明股份,汽车配件
002817,,黄山胶囊,化学制药
603557,,起步股份,服饰
002736,,国信证券,证券
002696,,百洋股份,渔业
688388,,嘉元科技,元器件
603755,,日辰股份,食品
000766,,通化金马,化学制药
000650,,仁和药业,中成药
000673,,当代东方,影视音像
000505,,京粮控股,食品
002503,,搜于特,服饰
300057,,万顺新材,广告包装
300193,,佳士科技,专用机械
600260,,凯乐科技,通信设备
600890,,中房股份,区域地产
600229,,城市传媒,出版业
300131,,英唐智控,元器件
300262,,巴安水务,环境保护
600699,,均胜电子,汽车配件
300525,,博思软件,软件服务
600053,,九鼎投资,多元金融
300543,,朗科智能,电气设备
600073,,上海梅林,食品
300433,,蓝思科技,元器件
000635,,英 力 特,化工原料
600779,,水井坊,白酒
603699,,纽威股份,专用机械
603717,,天域生态,环境保护
300342,,天银机电,元器件
600570,,恒生电子,软件服务
000615,,京汉股份,全国地产
300303,,聚飞光电,半导体
600082,,海泰发展,园区开发
000858,,五 粮 液,白酒
601519,,大智慧,软件服务
603017,,中衡设计,建筑工程
002196,,方正电机,纺织机械
002596,,海南瑞泽,其他建材
002782,,可立克,电气设备
002831,,裕同科技,广告包装
000988,,华工科技,电器仪表
000507,,珠海港,港口
603711,,香飘飘,软饮料
002250,,联化科技,化工原料
601238,,广汽集团,汽车整车
000590,,启迪古汉,中成药
002371,,北方华创,专用机械
002007,,华兰生物,生物制药
002234,,民和股份,农业综合
000977,,浪潮信息,IT设备
002859,,洁美科技,元器件
000636,,风华高科,元器件
300604,,长川科技,专用机械
603886,,元祖股份,食品
600127,,金健米业,农业综合
600155,,华创阳安,证券
300705,,九典制药,化学制药
002144,,宏达高科,纺织
603378,,亚士创能,染料涂料
300320,,海达股份,橡胶
600896,,览海投资,医疗保健
300605,,恒锋信息,软件服务
600210,,紫江企业,广告包装
300405,,科隆股份,化工原料
002563,,森马服饰,服饰
300575,,中旗股份,农药化肥
600831,,广电网络,影视音像
300410,,正业科技,电器仪表
600470,,六国化工,农药化肥
000058,,深 赛 格,元器件
600635,,大众公用,供气供热
002139,,拓邦股份,元器件
002729,,好利来,元器件
002867,,周大生,服饰
300223,,北京君正,半导体
300030,,阳普医疗,医疗保健
002565,,顺灏股份,造纸
000031,,大悦城,全国地产
002790,,瑞尔特,家居用品
000716,,黑芝麻,食品
600736,,苏州高新,园区开发
300314,,戴维医疗,医疗保健
600612,,老凤祥,服饰
000021,,深科技,IT设备
300511,,雪榕生物,种植业
600592,,龙溪股份,机械基件
002797,,第一创业,证券
300613,,富瀚微,半导体
300235,,方直科技,软件服务
002664,,长鹰信质,汽车配件
603288,,海天味业,食品
300291,,华录百纳,影视音像
603766,,隆鑫通用,摩托车
600088,,中视传媒,影视音像
002526,,山东矿机,工程机械
300476,,胜宏科技,元器件
002016,,世荣兆业,区域地产
300542,,新晨科技,软件服务
600658,,电子城,园区开发
600864,,哈投股份,证券
002428,,云南锗业,小金属
300287,,飞利信,软件服务
300351,,永贵电器,元器件
300703,,创源文化,文教休闲
002095,,生 意 宝,互联网
600285,,羚锐制药,中成药
601258,,*ST庞大,汽车服务
603535,,嘉诚国际,仓储物流
300106,,西部牧业,农业综合
000157,,中联重科,工程机械
300294,,博雅生物,生物制药
603787,,新日股份,摩托车
300278,,华昌达,专用机械
300760,,迈瑞医疗,医疗保健
002438,,江苏神通,机械基件
600760,,中航沈飞,航空
603600,,永艺股份,家居用品
603166,,福达股份,汽车配件
002494,,华斯股份,服饰
603858,,步长制药,中成药
603386,,广东骏亚,元器件
002132,,恒星科技,钢加工
603927,,中科软,软件服务
603363,,傲农生物,饲料
002031,,巨轮智能,汽车配件
002572,,索菲亚,家居用品
300042,,朗科科技,IT设备
600853,,龙建股份,建筑工程
002463,,沪电股份,元器件
300130,,新国都,IT设备
603538,,美诺华,化学制药
002050,,三花智控,机械基件
300457,,赢合科技,专用机械
000629,,攀钢钒钛,小金属
002124,,天邦股份,饲料
603638,,艾迪精密,专用机械
601615,,明阳智能,机械基件
601952,,苏垦农发,种植业
002483,,润邦股份,工程机械
002873,,新天药业,中成药
300034,,钢研高纳,小金属
002119,,康强电子,半导体
601218,,吉鑫科技,机械基件
603936,,博敏电子,元器件
000567,,海德股份,多元金融
300710,,万隆光电,通信设备
300318,,博晖创新,医疗保健
300475,,聚隆科技,专用机械
000931,,中 关 村,生物制药
300757,,罗博特科,专用机械
000023,,深天地Ａ,其他建材
600745,,闻泰科技,通信设备
000736,,中交地产,全国地产
300241,,瑞丰光电,半导体
600201,,生物股份,生物制药
002315,,焦点科技,互联网
600608,,ST沪科,钢加工
600742,,一汽富维,汽车配件
600576,,祥源文化,影视音像
000043,,中航善达,房产服务
603336,,宏辉果蔬,农业综合
000985,,大庆华科,化工原料
300479,,神思电子,软件服务
002443,,金洲管道,钢加工
603300,,华铁应急,钢加工
300490,,华自科技,电气设备
600466,,蓝光发展,区域地产
300587,,天铁股份,橡胶
601799,,星宇股份,汽车配件
300672,,国科微,半导体
002939,,长城证券,证券
002069,,獐子岛,渔业
600135,,乐凯胶片,化工原料
000886,,海南高速,路桥
000420,,吉林化纤,化纤
603003,,龙宇燃油,石油贸易
002931,,锋龙股份,汽车配件
002916,,深南电路,元器件
300387,,富邦股份,化工原料
002126,,银轮股份,汽车配件
300413,,芒果超媒,影视音像
002801,,微光股份,电气设备
603222,,济民制药,化学制药
000529,,广弘控股,食品
002539,,云图控股,农药化肥
600250,,南纺股份,商贸代理
300482,,万孚生物,生物制药
300323,,华灿光电,半导体
002723,,金莱特,家用电器
603311,,金海环境,专用机械
600129,,太极集团,中成药
601633,,长城汽车,汽车整车
002762,,金发拉比,服饰
002891,,中宠股份,饲料
000667,,美好置业,全国地产
002120,,韵达股份,仓储物流
601005,,重庆钢铁,普钢
300126,,锐奇股份,轻工机械
601865,,福莱特,玻璃
000425,,徐工机械,工程机械
603333,,尚纬股份,电气设备
000868,,*ST安凯,汽车整车
300033,,同花顺,软件服务
601999,,出版传媒,出版业
000851,,高鸿股份,软件服务
600933,,爱柯迪,汽车配件
603878,,武进不锈,钢加工
300115,,长盈精密,元器件
600368,,五洲交通,路桥
300254,,仟源医药,化学制药
600689,,上海三毛,纺织
300685,,艾德生物,生物制药
300021,,大禹节水,农业综合
300142,,沃森生物,生物制药
600967,,内蒙一机,运输设备
600421,,*ST仰帆,综合类
600076,,康欣新材,其他建材
600306,,商业城,百货
000609,,中迪投资,区域地产
601236,,红塔证券,证券
000919,,金陵药业,化学制药
600966,,博汇纸业,造纸
603963,,大理药业,化学制药
300347,,泰格医药,医疗保健
601028,,玉龙股份,钢加工
002047,,宝鹰股份,装修装饰
600235,,民丰特纸,造纸
603308,,应流股份,专用机械
600518,,ST康美,中成药
002607,,中公教育,文教休闲
600517,,置信电气,电气设备
